,DRS,data,media_isolamento,cidade,cod_ibge
0,DRS 09 Marília,"segunda-feira, 19/07",40%,ASSIS,3504008
1,DRS 09 Marília,"segunda-feira, 19/07",37%,MARÍLIA,3529005
2,DRS 09 Marília,"segunda-feira, 19/07",38%,OURINHOS,3534708
3,DRS 09 Marília,"segunda-feira, 19/07",43%,TUPÃ,3555000
4,DRS 09 Marília,"segunda-feira, 19/07",39.5,ADAMANTINA,3500105
5,DRS 09 Marília,"segunda-feira, 19/07",39.5,ÁLVARO DE CARVALHO,3501400
6,DRS 09 Marília,"segunda-feira, 19/07",39.5,ALVINLÂNDIA,3501509
7,DRS 09 Marília,"segunda-feira, 19/07",39.5,ARCO-ÍRIS,3503356
8,DRS 09 Marília,"segunda-feira, 19/07",39.5,ASSIS,3504008
9,DRS 09 Marília,"segunda-feira, 19/07",39.5,BASTOS,3505807
10,DRS 09 Marília,"segunda-feira, 19/07",39.5,BERNARDINO DE CAMPOS,3506300
11,DRS 09 Marília,"segunda-feira, 19/07",39.5,BORÁ,3507209
12,DRS 09 Marília,"segunda-feira, 19/07",39.5,CAMPOS NOVOS PAULISTA,3509809
13,DRS 09 Marília,"segunda-feira, 19/07",39.5,CÂNDIDO MOTA,3510005
14,DRS 09 Marília,"segunda-feira, 19/07",39.5,CANITAR,3510153
15,DRS 09 Marília,"segunda-feira, 19/07",39.5,CRUZÁLIA,3513306
16,DRS 09 Marília,"segunda-feira, 19/07",39.5,ECHAPORÃ,3514700
17,DRS 09 Marília,"segunda-feira, 19/07",39.5,ESPÍRITO SANTO DO TURVO,3515194
18,DRS 09 Marília,"segunda-feira, 19/07",39.5,FERNÃO,3515657
19,DRS 09 Marília,"segunda-feira, 19/07",39.5,FLÓRIDA PAULISTA,3516002
20,DRS 09 Marília,"segunda-feira, 19/07",39.5,FLORÍNEA,3516101
21,DRS 09 Marília,"segunda-feira, 19/07",39.5,GÁLIA,3516606
22,DRS 09 Marília,"segunda-feira, 19/07",39.5,GARÇA,3516705
23,DRS 09 Marília,"segunda-feira, 19/07",39.5,GUAIMBÊ,3517307
24,DRS 09 Marília,"segunda-feira, 19/07",39.5,GUARANTÃ,3518107
25,DRS 09 Marília,"segunda-feira, 19/07",39.5,HERCULÂNDIA,3519006
26,DRS 09 Marília,"segunda-feira, 19/07",39.5,IACRI,3519204
27,DRS 09 Marília,"segunda-feira, 19/07",39.5,IBIRAREMA,3519501
28,DRS 09 Marília,"segunda-feira, 19/07",39.5,INÚBIA PAULISTA,3520806
29,DRS 09 Marília,"segunda-feira, 19/07",39.5,IPAUSSU,3520905
30,DRS 09 Marília,"segunda-feira, 19/07",39.5,JÚLIO MESQUITA,3525805
31,DRS 09 Marília,"segunda-feira, 19/07",39.5,LUCÉLIA,3527405
32,DRS 09 Marília,"segunda-feira, 19/07",39.5,LUPÉRCIO,3527801
33,DRS 09 Marília,"segunda-feira, 19/07",39.5,LUTÉCIA,3527900
34,DRS 09 Marília,"segunda-feira, 19/07",39.5,MARACAÍ,3528809
35,DRS 09 Marília,"segunda-feira, 19/07",39.5,MARIÁPOLIS,3528908
36,DRS 09 Marília,"segunda-feira, 19/07",39.5,MARÍLIA,3529005
37,DRS 09 Marília,"segunda-feira, 19/07",39.5,OCAUÇU,3533700
38,DRS 09 Marília,"segunda-feira, 19/07",39.5,ÓLEO,3533809
39,DRS 09 Marília,"segunda-feira, 19/07",39.5,ORIENTE,3534104
40,DRS 09 Marília,"segunda-feira, 19/07",39.5,OSCAR BRESSANE,3534500
41,DRS 09 Marília,"segunda-feira, 19/07",39.5,OSVALDO CRUZ,3534609
42,DRS 09 Marília,"segunda-feira, 19/07",39.5,OURINHOS,3534708
43,DRS 09 Marília,"segunda-feira, 19/07",39.5,PACAEMBU,3534906
44,DRS 09 Marília,"segunda-feira, 19/07",39.5,PALMITAL,3535309
45,DRS 09 Marília,"segunda-feira, 19/07",39.5,PARAGUAÇU PAULISTA,3535507
46,DRS 09 Marília,"segunda-feira, 19/07",39.5,PARAPUÃ,3536000
47,DRS 09 Marília,"segunda-feira, 19/07",39.5,PEDRINHAS PAULISTA,3537156
48,DRS 09 Marília,"segunda-feira, 19/07",39.5,PLATINA,3539707
49,DRS 09 Marília,"segunda-feira, 19/07",39.5,POMPÉIA,3540002
50,DRS 09 Marília,"segunda-feira, 19/07",39.5,PRACINHA,3540853
51,DRS 09 Marília,"segunda-feira, 19/07",39.5,QUEIROZ,3541802
52,DRS 09 Marília,"segunda-feira, 19/07",39.5,QUINTANA,3542008
53,DRS 09 Marília,"segunda-feira, 19/07",39.5,RIBEIRÃO DO SUL,3543204
54,DRS 09 Marília,"segunda-feira, 19/07",39.5,RINÓPOLIS,3543808
55,DRS 09 Marília,"segunda-feira, 19/07",39.5,SAGRES,3544707
56,DRS 09 Marília,"segunda-feira, 19/07",39.5,SALMOURÃO,3545100
57,DRS 09 Marília,"segunda-feira, 19/07",39.5,SALTO GRANDE,3545407
58,DRS 09 Marília,"segunda-feira, 19/07",39.5,SANTA CRUZ DO RIO PARDO,3546405
59,DRS 09 Marília,"segunda-feira, 19/07",39.5,SÃO PEDRO DO TURVO,3550506
60,DRS 09 Marília,"segunda-feira, 19/07",39.5,TARUMÃ,3553955
61,DRS 09 Marília,"segunda-feira, 19/07",39.5,TIMBURI,3554607
62,DRS 09 Marília,"segunda-feira, 19/07",39.5,TUPÃ,3555000
63,DRS 09 Marília,"segunda-feira, 19/07",39.5,UBIRAJARA,3555505
64,DRS 09 Marília,"segunda-feira, 19/07",39.5,VERA CRUZ,3556602
65,DRS 09 Marília,"segunda-feira, 19/07",39.5,CHAVANTES,3557204
66,DRS 09 Marília,"domingo, 18/07",46%,ASSIS,3504008
67,DRS 09 Marília,"domingo, 18/07",44%,MARÍLIA,3529005
68,DRS 09 Marília,"domingo, 18/07",43%,OURINHOS,3534708
69,DRS 09 Marília,"domingo, 18/07",47%,TUPÃ,3555000
70,DRS 09 Marília,"domingo, 18/07",45.0,ADAMANTINA,3500105
71,DRS 09 Marília,"domingo, 18/07",45.0,ÁLVARO DE CARVALHO,3501400
72,DRS 09 Marília,"domingo, 18/07",45.0,ALVINLÂNDIA,3501509
73,DRS 09 Marília,"domingo, 18/07",45.0,ARCO-ÍRIS,3503356
74,DRS 09 Marília,"domingo, 18/07",45.0,ASSIS,3504008
75,DRS 09 Marília,"domingo, 18/07",45.0,BASTOS,3505807
76,DRS 09 Marília,"domingo, 18/07",45.0,BERNARDINO DE CAMPOS,3506300
77,DRS 09 Marília,"domingo, 18/07",45.0,BORÁ,3507209
78,DRS 09 Marília,"domingo, 18/07",45.0,CAMPOS NOVOS PAULISTA,3509809
79,DRS 09 Marília,"domingo, 18/07",45.0,CÂNDIDO MOTA,3510005
